record_id,redcap_survey_identifier,questionrio_sobre_a_percepo_dos_estudantes_de_medi_timestamp,c_informado,instit,codigo,data_inq,idade,genero,estado_civil,tem_filhos,depend,local_nasc,esecund_local,resid_actual,cquem_vive,trab_estuda,ano_acad,tipo_renda,prof_pai,prof_mae,nescola_mae,nescola_pai,parente_saude,psaude_especif,fproximo,fdistante,aproximo,cquem_vivo,colega_curso,vizinhos,docente,padmin,ong_volunt,rsociais,outras_p,ajudar,cont_pessoas,salva_vidas,aj_dcovid19,vontade,dom,import_medico,influencia,med_resp,doent_fam,dif_pessoais,adq_conhec,curiosid,fac_emprego,renum,sem_opcao,sprg_ensino,qual_docentes,qual_sist_apoio,acess_mater,acess_doentes,tut_plataformas___1,tut_plataformas___2,tut_plataformas___3,tut_plataformas___4,tut_plataformas___5,tut_plataformas___6,metod_online___1,metod_online___2,metod_online___3,metod_online___4,metod_online___5,metod_online___6,disp_tarefas,retor_desemp,resp_pront,aulas_online,exame_form,sobrecarga,tip_sobrecarga,tipo_form,loc_trab_pform,outros_locais,salario_min,especializacao,outra_especial,sector,sist_hibr,horar_sem,prog_ensino,metod_ens,model_aval,sist_apoio_func,lugar_estudos,secretaria,computador,software,impressora,auscultadores,cam_web,mat_escrit,internet,mat_curso,outro_mat,pesq_online,cont_digit,plat_e_online,plat_col_online,plat_com_online,soft_mestudo,def_avanc,alegre,esperanc,orgulhoso,frustrado,zangado,ansioso,enverg,aliviado,sem_espera,aborrecido,saude_fis,saide_ment,quest_est,educ_fut,fin_pess,fam_rel,car_profiss,crise_pandf,lazer,custo_estudos___1,custo_estudos___2,custo_estudos___3,custo_estudos___4,custo_estudos___5,trab_covid19___1,trab_covid19___2,trab_covid19___3,trab_covid19___4,trab_covid19___5,trab_covid_rem___1,trab_covid_rem___2,trab_covid_rem___3,trab_covid_rem___4,trab_covid_rem___5,trab_covid_rem___6,propinas,questionrio_sobre_a_percepo_dos_estudantes_de_medi_complete
141,,6/10/2024 19:22,1,2,2016905,6/10/2024,26,2,1,2,2,11,10,1,2,2,6,1,engenheiro mecânico ,organizadora de eventos ,3,3,1,3,5,4,4,5,5,4,3,1,1,5,4,5,5,5,4,4,5,3,3,2,2,2,5,3,2,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,5,5,5,5,5,2,,3,5,,100.000,3,,3,4,4,3,3,4,4,4,5,5,5,5,5,5,5,4,4,3,5,5,4,5,4,4,4,4,4,4,2,3,3,2,3,1,2,3,4,3,4,3,4,4,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
142,,[not completed],1,2,2016398,6/10/2024,25,1,1,2,2,2,2,1,2,1,6,5,Empresário ,Decoradora ,3,3,2,,4,2,4,5,5,4,4,1,1,5,1,4,3,5,3,5,2,2,1,2,2,1,5,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,4,2,3,3,4,1,1,3,5,,40000,5,,3,4,3,4,4,3,1,3,4,5,3,4,1,1,5,5,4,2,5,5,2,5,4,3,2,3,3,3,3,3,5,3,2,2,2,3,3,,3,4,3,4,4,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
143,,[not completed],1,2,2015820,6/10/2024,26,1,1,1,1,6,6,1,5,2,6,1,Engenheiro,Contabilista,4,4,1,3,5,3,3,5,5,2,3,4,4,3,3,5,5,5,3,5,5,5,2,4,3,3,4,1,1,2,1,2,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,4,4,5,5,5,2,,3,5,,80.000,2,,3,4,4,4,4,4,4,5,5,5,5,1,5,5,5,,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,1,4,3,3,5,5,5,5,5,5,5,5,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0
144,,[not completed],1,2,2015518,6/10/2024,27,1,1,2,2,11,11,2,1,1,6,1,Comerciante ,Comerciante,2,2,1,3,5,5,5,5,4,2,1,4,4,5,2,3,3,4,3,,4,5,3,3,2,2,4,2,2,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,4,3,4,4,4,1,1,3,2,,90.000,3,,2,4,4,4,4,4,4,4,3,5,5,5,3,2,5,5,5,4,5,5,5,5,5,5,4,4,3,4,2,2,2,2,2,2,2,5,5,5,5,5,,,3,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
145,,6/10/2024 20:39,1,2,2014120,6/10/2024,27,1,1,2,2,11,9,1,2,2,6,5,Falecido,Falecida,3,3,1,3,2,1,1,3,1,1,2,1,1,5,5,4,3,4,1,5,5,5,1,2,5,3,4,2,3,2,1,2,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1,5,1,4,4,4,2,,3,4,,80000,5,,3,4,4,4,3,5,1,4,5,5,5,1,5,5,5,3,3,1,5,5,5,5,5,5,3,3,3,3,4,3,5,3,2,2,4,1,1,4,4,1,1,3,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2
146,,6/10/2024 21:09,1,2,2016300,6/10/2024,25,1,1,2,2,11,10,1,2,2,6,1,Reformado,Técnica Bancária ,4,4,2,,5,3,4,5,5,3,4,1,1,5,5,5,5,5,3,3,4,5,2,3,2,2,5,2,2,2,1,1,1,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,3,4,4,6,4,2,,3,4,,50000,3,,3,4,4,4,4,4,3,5,5,4,3,1,5,3,5,4,3,3,5,5,4,5,5,5,6,4,4,1,3,3,2,1,2,1,3,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2
147,,[not completed],1,2,2016842,6/10/2024,25,1,1,2,2,11,11,1,1,2,6,1,Jurista ,Doméstica ,1,4,2,,5,,5,5,5,3,3,2,2,5,3,5,5,5,4,4,3,3,2,2,4,3,3,2,2,2,1,2,2,2,2,2,1,1,1,0,0,0,1,0,0,0,0,0,5,3,4,4,3,1,2,2,1,,,7,Medicina de emergência ,1,2,2,4,4,3,1,3,5,5,3,1,5,5,5,3,,3,4,4,3,4,4,3,3,4,4,3,5,3,5,1,2,2,3,5,5,3,4,4,4,4,3,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
148,,6/10/2024 21:31,1,2,2016484,6/10/2024,27,1,1,2,2,11,11,1,1,2,6,1,Engenheiro mecânico ,Contabilista,3,4,1,3,3,1,5,5,5,1,3,1,1,3,1,4,3,5,3,2,4,5,3,5,2,2,4,3,2,3,1,2,2,2,2,2,1,0,0,0,0,0,1,1,1,0,0,0,3,2,4,3,2,1,2,3,2,,100000,3,,3,3,4,3,3,2,2,5,5,5,5,5,5,5,5,3,2,5,5,4,3,5,5,5,3,3,2,3,4,4,5,2,4,4,5,2,3,4,5,5,4,5,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2
149,,[not completed],1,2,15,6/10/2024,26,1,3,1,1,6,6,1,5,2,6,5,engenheiro ,contabilista ,4,4,2,,3,3,3,3,3,1,5,4,4,5,5,5,5,5,5,5,5,5,2,4,2,4,5,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,5,5,5,5,5,2,,3,1,,80.000,2,,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,3,3,3,1,4,3,3,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0
150,,6/10/2024 21:51,1,2,15,6/10/2024,26,1,3,1,1,6,6,1,5,2,6,5,engenheiro ,contabilista ,4,4,2,,5,5,5,5,5,1,5,1,1,5,5,5,5,5,5,5,5,5,1,5,2,2,5,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,5,5,5,5,5,2,,3,1,,80.000,2,,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,1,4,3,3,5,5,4,5,5,5,5,5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,2
151,,6/10/2024 22:00,1,2,2014228,6/10/2024,26,1,1,2,2,11,11,1,1,2,6,1,Reformado,Doméstica,3,4,2,,5,2,5,5,4,3,3,1,1,5,5,4,3,5,3,5,5,5,1,3,5,1,3,2,1,2,1,2,1,1,2,1,1,1,0,1,0,0,1,0,0,0,0,0,4,2,4,4,4,2,,3,3,,70.000,4,,3,4,4,4,4,2,2,3,4,5,5,1,5,4,4,4,3,3,5,5,4,5,5,4,3,3,2,3,3,3,3,2,3,2,2,3,4,4,3,4,3,5,3,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2
152,,6/10/2024 22:34,1,2,20170746,6/10/2024,24,1,1,2,2,11,11,1,1,2,6,5,Médico,Médica,4,4,1,1,5,1,5,5,3,1,4,1,1,5,5,5,2,5,5,2,5,5,2,5,2,5,5,1,1,1,1,1,2,2,2,1,1,1,0,1,0,0,1,1,0,0,0,0,3,2,5,3,4,1,1,3,5,,80000,7,Dermatologia,3,3,5,4,3,5,1,4,5,5,5,2,5,3,5,4,4,1,5,4,5,5,5,4,4,3,5,3,4,4,4,3,3,1,3,2,4,2,4,4,5,5,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2
153,,6/10/2024 23:24,1,2,20170724,6/10/2024,24,1,1,2,2,11,10,2,1,2,6,1,Reformado,Bióloga,5,4,2,,5,1,1,5,2,1,2,1,1,5,1,4,2,5,3,2,3,2,4,2,4,1,5,4,3,1,1,1,2,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,5,4,4,3,3,1,1,1,3,,60000,1,,3,4,5,5,4,3,2,3,5,5,5,1,3,5,5,3,4,2,5,5,5,5,5,4,3,3,4,1,2,1,1,1,4,2,3,1,3,3,3,3,3,4,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
154,,6/11/2024 1:15,1,2,20170678,6/10/2024,25,1,1,2,2,11,11,1,1,2,6,1,especialista de manutenção ,doméstica ,4,4,1,3,5,1,3,4,4,2,4,1,1,5,1,5,3,5,3,5,3,3,2,2,2,2,5,3,2,2,4,2,2,2,1,1,1,1,0,1,0,0,1,1,0,0,0,0,4,3,5,4,4,1,1,3,5,,50000,2,,3,4,4,4,4,4,3,5,5,5,5,5,5,5,5,3,4,3,5,5,2,5,5,3,3,3,3,3,4,2,4,5,3,2,2,5,5,5,5,5,4,5,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
155,,6/11/2024 6:20,1,2,2013655,6/11/2024,27,1,1,2,2,11,11,3,1,2,6,5,Médico ,Engenheira agronoma,5,6,1,1,1,1,5,1,5,3,1,1,1,5,3,5,4,5,5,4,4,5,1,2,2,1,5,1,1,1,1,1,1,2,1,2,1,0,0,0,0,0,1,0,0,0,0,0,4,3,3,4,4,2,,4,3,,95.000,3,,3,4,2,2,2,2,2,4,4,5,4,1,3,5,5,5,3,1,5,5,3,5,5,5,4,3,3,3,4,1,1,1,1,1,1,2,2,3,4,3,1,4,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2
156,,6/11/2024 6:29,1,2,2015192,6/11/2024,28,1,1,2,2,11,11,2,1,2,6,5,Engenheiro civil ,Administração pública ,4,4,2,,3,4,1,5,5,2,2,2,2,5,5,5,4,4,4,4,4,2,2,2,2,1,5,4,2,2,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,4,4,4,4,4,2,,2,3,,85000,7,,3,4,4,4,4,4,4,3,2,2,2,1,1,2,5,2,3,4,4,4,3,4,5,3,2,3,3,4,1,1,1,1,2,1,1,1,1,3,2,2,1,2,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2
